Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,brand,name,description,price,currency,scraped_at,section,Revenue,Scraped Month
185102,Aisle,No,Clothing,No,2823,Zara,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,USD,2024-02-19 08:50:05.654618,man,56431.77,2024-02
188771,Aisle,No,Clothing,No,654,Zara,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169.0,USD,2024-02-19 08:50:06.590930,man,110526.0,2024-02
180176,End-cap,Yes,Clothing,Yes,2220,Zara,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,USD,2024-02-19 08:50:07.301419,man,286380.0,2024-02
112917,Aisle,Yes,Clothing,Yes,1568,Zara,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,USD,2024-02-19 08:50:07.882922,man,202272.0,2024-02
192936,End-cap,No,Clothing,Yes,2942,Zara,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139.0,USD,2024-02-19 08:50:08.453847,man,408938.0,2024-02
117590,End-cap,No,Clothing,No,2968,Zara,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,USD,2024-02-19 08:50:09.140497,man,237143.2,2024-02
189118,Front of Store,Yes,Clothing,Yes,952,Zara,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,USD,2024-02-19 08:50:09.688951,man,66630.48,2024-02
182157,Aisle,No,Clothing,No,2421,Zara,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159.0,USD,2024-02-19 08:50:10.200777,man,384939.0,2024-02
141861,Aisle,Yes,Clothing,Yes,1916,Zara,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169.0,USD,2024-02-19 08:50:10.880741,man,323804.0,2024-02
137121,Aisle,No,Clothing,Yes,656,Zara,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169.0,USD,2024-02-19 08:50:11.380061,man,110864.0,2024-02
113143,Aisle,Yes,Clothing,Yes,2663,Zara,HERRINGBONE TEXTURED JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.,129.0,USD,2024-02-19 08:50:12.011296,man,343527.0,2024-02
140028,Aisle,Yes,Clothing,Yes,1260,Zara,OVERSIZED CROPPED JACKET LIMITED EDITION,Oversized cropped jacket. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at waist ad interior pocket. Front button closure.,159.0,USD,2024-02-19 08:50:12.510507,man,200340.0,2024-02
134693,Aisle,Yes,Clothing,No,2124,Zara,LEATHER BIKER JACKET,Jacket with lapel collar and snap button details. Long sleeves with zip cuffs. Front zip pockets and interior pocket. Asymmetric front closure with metal zipper.,169.0,USD,2024-02-19 08:50:13.210501,man,358956.0,2024-02
151396,Front of Store,Yes,Clothing,Yes,729,Zara,CROPPED LEATHER JACKET,Leather jacket. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.,439.0,USD,2024-02-19 08:50:13.771115,man,320031.0,2024-02
